timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1669200390,2022-11-23 17:46:30.000,72,775,575.6,3957.5,71,Wednesday
1669201290,2022-11-23 18:01:30.000,78,738,555.5,3883.1,74,Wednesday
1669204890,2022-11-23 19:01:30.000,67,436,354.9,2088.1,67,Wednesday
1669208490,2022-11-23 20:01:30.001,43,175,147.5,777.1,45,Wednesday
1669212090,2022-11-23 21:01:30.001,21,53,48.4,234.7,24,Wednesday
1669215690,2022-11-23 22:01:30.000,9,28,33.5,101.3,12,Wednesday
1669219290,2022-11-23 23:01:30.000,3,29,27.7,101.4,6,Wednesday
1669222890,2022-11-24 00:01:30.000,0,19,18.8,55.6,0,Thursday
1669226490,2022-11-24 01:01:30.001,0,19,37.1,53.7,0,Thursday
1669230090,2022-11-24 02:01:30.000,0,17,35.2,38.1,0,Thursday
1669233690,2022-11-24 03:01:30.000,0,16,37.1,43.2,0,Thursday
1669237290,2022-11-24 04:01:30.001,0,18,33.1,22.0,0,Thursday
1669240890,2022-11-24 05:01:30.000,0,12,30.1,16.0,3,Thursday
1669247190,2022-11-24 06:46:30.000,24,285,181.4,1234.4,49,Thursday
1669250790,2022-11-24 07:46:30.000,43,387,259.1,1763.0,79,Thursday
1669251690,2022-11-24 08:01:30.000,44,382,275.9,1713.8,83,Thursday
1669255290,2022-11-24 09:01:30.001,39,238,188.0,1056.2,80,Thursday
1669261590,2022-11-24 10:46:30.001,39,317,255.0,1340.7,75,Thursday
1669263390,2022-11-24 11:16:30.000,41,333,265.1,1420.7,68,Thursday
1669266090,2022-11-24 12:01:30.000,40,291,238.6,1177.6,59,Thursday
1669272390,2022-11-24 13:46:30.000,39,307,214.6,1128.9,51,Thursday
1669275090,2022-11-24 14:31:30.000,43,379,261.5,1498.2,54,Thursday
1669276890,2022-11-24 15:01:30.000,45,415,284.8,1720.1,54,Thursday
1669283190,2022-11-24 16:46:30.001,53,541,384.0,2558.6,62,Thursday
1669286790,2022-11-24 17:46:30.000,68,801,557.2,4049.4,83,Thursday
1669287690,2022-11-24 18:01:30.000,72,776,562.9,3993.6,88,Thursday
1669291290,2022-11-24 19:01:30.000,62,424,338.6,2001.6,78,Thursday
1669294890,2022-11-24 20:01:30.000,42,192,166.2,920.9,58,Thursday
1669298490,2022-11-24 21:01:30.000,21,65,42.3,308.3,35,Thursday
1669302090,2022-11-24 22:01:30.000,11,34,33.4,194.1,19,Thursday
1669305690,2022-11-24 23:01:30.000,4,28,30.5,133.5,6,Thursday
1669309290,2022-11-25 00:01:30.001,0,27,28.7,120.1,0,Friday
1669312890,2022-11-25 01:01:30.000,0,19,25.2,52.7,0,Friday
1669316490,2022-11-25 02:01:30.001,0,16,25.1,80.0,0,Friday
